Country,City,Continent,Month,AQI,AQI_Category,PM2.5,PM10,NO2,SO2,CO,O3,Dominant_Pollutant
Spain,Madrid,Europe,2024-11,39,Good,16.1,27.3,4.5,4.4,0.83,36.9,PM10
Spain,Madrid,Europe,2024-12,69,Moderate,28.2,39.3,17.2,6.5,0.18,11.7,NO2
France,Paris,Europe,2024-01,64,Moderate,24.3,43.0,12.3,7.5,1.41,68.9,PM2.5
France,Paris,Europe,2024-02,49,Good,21.1,32.3,15.5,2.3,0.19,61.0,PM2.5
France,Paris,Europe,2024-03,60,Moderate,25.6,35.3,23.1,2.9,1.16,56.0,O3
France,Paris,Europe,2024-04,47,Good,16.8,22.3,9.6,3.7,0.36,73.4,PM2.5
France,Paris,Europe,2024-05,55,Moderate,21.7,36.6,4.7,7.2,0.15,14.4,O3
France,Paris,Europe,2024-06,41,Good,14.9,23.3,11.3,4.0,0.93,11.5,PM10
France,Paris,Europe,2024-07,45,Good,20.0,26.5,12.6,3.5,0.85,78.7,PM2.5
France,Paris,Europe,2024-08,48,Good,19.9,27.8,17.3,6.0,1.17,52.6,PM2.5
France,Paris,Europe,2024-09,46,Good,20.0,31.6,15.5,2.0,1.0,60.6,PM2.5
France,Paris,Europe,2024-10,45,Good,18.9,29.7,4.3,5.6,0.59,21.6,O3
France,Paris,Europe,2024-11,53,Moderate,21.0,31.6,21.6,7.6,0.18,45.9,NO2
France,Paris,Europe,2024-12,69,Moderate,27.3,36.2,33.3,4.4,0.55,21.5,PM2.5
South Africa,Johannesburg,Africa,2024-01,82,Moderate,30.4,52.9,43.8,18.0,0.61,41.6,O3
South Africa,Johannesburg,Africa,2024-02,97,Moderate,41.4,54.4,8.3,12.1,2.22,47.7,PM2.5
South Africa,Johannesburg,Africa,2024-03,67,Moderate,29.0,43.2,31.9,16.2,0.45,46.6,PM2.5
South Africa,Johannesburg,Africa,2024-04,59,Moderate,25.3,40.2,23.5,12.0,0.66,74.1,PM2.5
South Africa,Johannesburg,Africa,2024-05,69,Moderate,29.6,43.2,36.0,15.7,0.58,78.8,PM2.5
South Africa,Johannesburg,Africa,2024-06,53,Moderate,19.6,27.3,28.7,9.0,0.29,40.8,PM10
South Africa,Johannesburg,Africa,2024-07,59,Moderate,26.4,39.8,34.9,10.2,0.98,21.6,NO2
South Africa,Johannesburg,Africa,2024-08,68,Moderate,26.7,36.9,3.9,10.0,0.96,60.4,NO2
South Africa,Johannesburg,Africa,2024-09,67,Moderate,24.7,42.7,33.5,9.6,1.23,32.0,PM2.5
South Africa,Johannesburg,Africa,2024-10,62,Moderate,26.8,41.0,15.3,8.2,1.31,33.5,PM2.5
South Africa,Johannesburg,Africa,2024-11,72,Moderate,25.9,36.8,9.2,7.0,0.89,62.4,PM10
South Africa,Johannesburg,Africa,2024-12,87,Moderate,35.9,53.0,44.6,11.0,2.13,54.4,PM2.5
United Kingdom,London,Europe,2024-01,43,Good,18.0,24.0,6.3,9.3,0.31,68.6,PM2.5
United Kingdom,London,Europe,2024-02,57,Moderate,23.6,38.9,18.9,5.0,0.39,12.3,PM2.5
United Kingdom,London,Europe,2024-03,42,Good,18.4,31.0,20.3,7.2,0.34,73.5,PM10
United Kingdom,London,Europe,2024-04,41,Good,16.6,22.5,12.1,5.1,0.9,48.3,PM2.5
United Kingdom,London,Europe,2024-05,37,Good,15.7,27.6,7.5,8.0,0.32,73.8,NO2
United Kingdom,London,Europe,2024-06,36,Good,15.5,20.3,20.9,6.7,0.32,68.1,PM2.5
United Kingdom,London,Europe,2024-07,38,Good,13.7,19.5,2.2,4.8,0.34,51.9,PM2.5
United Kingdom,London,Europe,2024-08,44,Good,16.7,27.9,3.4,10.0,0.95,56.7,PM10
United Kingdom,London,Europe,2024-09,39,Good,16.7,22.0,14.5,9.7,0.85,46.5,PM2.5
United Kingdom,London,Europe,2024-10,39,Good,16.9,27.0,4.4,1.5,0.89,56.8,NO2
United Kingdom,London,Europe,2024-11,41,Good,16.5,25.0,9.2,4.8,0.81,52.1,NO2
United Kingdom,London,Europe,2024-12,56,Moderate,22.1,35.4,22.2,8.7,1.02,26.6,PM2.5
Japan,Tokyo,Asia,2024-01,51,Moderate,20.3,33.0,29.2,8.0,0.97,45.4,PM10
Japan,Tokyo,Asia,2024-02,47,Good,16.8,24.0,11.7,6.0,0.14,19.8,PM2.5
Japan,Tokyo,Asia,2024-03,35,Good,14.4,20.7,5.7,4.8,0.07,10.5,PM2.5
Japan,Tokyo,Asia,2024-04,42,Good,14.9,20.2,9.9,8.6,0.64,45.9,PM2.5
Japan,Tokyo,Asia,2024-05,41,Good,14.7,23.6,4.6,4.0,0.56,71.2,PM2.5
Japan,Tokyo,Asia,2024-06,41,Good,17.2,30.9,5.0,3.3,0.45,39.5,PM2.5
Japan,Tokyo,Asia,2024-07,39,Good,16.0,23.3,19.6,9.3,0.81,10.1,PM10
Japan,Tokyo,Asia,2024-08,40,Good,14.2,20.3,3.3,6.3,0.71,18.0,PM2.5
Japan,Tokyo,Asia,2024-09,31,Good,11.2,16.9,14.4,1.0,0.12,34.8,O3
Japan,Tokyo,Asia,2024-10,38,Good,15.8,25.9,9.5,5.9,0.08,54.5,O3
Japan,Tokyo,Asia,2024-11,47,Good,19.9,27.1,25.7,1.5,0.67,19.9,PM2.5
Japan,Tokyo,Asia,2024-12,54,Moderate,21.2,30.7,17.1,8.2,0.16,18.6,PM10
United States,New York,North America,2024-01,69,Moderate,28.7,49.4,29.7,8.1,1.21,29.3,PM2.5
United States,New York,North America,2024-02,54,Moderate,23.2,35.3,26.4,11.3,1.17,74.2,PM2.5
United States,New York,North America,2024-03,53,Moderate,20.5,32.8,23.2,9.4,0.56,21.7,PM2.5
United States,New York,North America,2024-04,38,Good,13.8,24.1,9.1,2.0,0.1,55.2,PM10
United States,New York,North America,2024-05,45,Good,17.6,25.6,19.0,7.1,0.47,25.3,O3
United States,New York,North America,2024-06,42,Good,16.6,27.3,5.3,5.5,0.11,45.4,O3
United States,New York,North America,2024-07,41,Good,14.5,21.7,5.7,0.9,0.8,42.1,PM2.5
United States,New York,North America,2024-08,43,Good,18.9,25.7,24.8,3.9,0.96,52.2,NO2
United States,New York,North America,2024-09,47,Good,18.3,26.9,16.3,2.5,0.69,47.9,NO2
United States,New York,North America,2024-10,51,Moderate,22.1,33.6,11.0,3.9,0.33,14.0,PM2.5
United States,New York,North America,2024-11,37,Good,15.1,20.7,10.9,6.0,0.49,38.1,O3
United States,New York,North America,2024-12,65,Moderate,28.5,45.9,23.6,10.5,0.43,37.7,PM2.5
Germany,Berlin,Europe,2024-01,63,Moderate,23.5,41.9,34.7,11.7,0.9,70.9,PM2.5
Germany,Berlin,Europe,2024-02,39,Good,16.7,22.8,19.0,3.2,0.86,76.1,PM2.5
Germany,Berlin,Europe,2024-03,40,Good,15.9,27.5,15.0,4.2,0.34,24.2,NO2
Germany,Berlin,Europe,2024-04,38,Good,14.8,23.0,12.2,5.8,0.83,78.7,PM2.5
Germany,Berlin,Europe,2024-05,40,Good,16.3,29.0,6.4,1.7,0.87,40.7,NO2
Germany,Berlin,Europe,2024-06,37,Good,16.3,21.7,19.8,4.5,0.51,53.9,O3
Germany,Berlin,Europe,2024-07,34,Good,14.2,23.6,14.7,1.6,0.3,35.1,NO2
Germany,Berlin,Europe,2024-08,33,Good,12.5,17.6,19.0,0.6,0.82,57.4,NO2
Germany,Berlin,Europe,2024-09,41,Good,17.4,23.9,19.0,8.0,0.7,63.6,NO2
Germany,Berlin,Europe,2024-10,40,Good,16.5,22.2,12.7,1.4,0.45,38.5,PM2.5
Germany,Berlin,Europe,2024-11,34,Good,14.6,25.9,3.1,8.1,0.48,31.0,PM2.5
Germany,Berlin,Europe,2024-12,46,Good,18.4,31.2,20.2,1.3,0.17,38.2,PM2.5
Canada,Toronto,North America,2024-01,40,Good,17.2,30.4,10.9,9.1,0.38,43.4,PM2.5
Canada,Toronto,North America,2024-02,39,Good,16.1,28.8,14.9,3.9,0.66,18.6,NO2
Canada,Toronto,North America,2024-03,22,Good,9.0,14.5,2.0,3.9,0.17,60.0,NO2
Canada,Toronto,North America,2024-04,36,Good,15.5,24.4,12.1,1.8,0.71,29.0,PM2.5
Canada,Toronto,North America,2024-05,32,Good,13.2,17.5,14.8,2.9,0.06,45.8,PM2.5
Canada,Toronto,North America,2024-06,30,Good,11.3,18.7,2.5,6.4,0.06,27.3,PM10
Canada,Toronto,North America,2024-07,29,Good,11.2,16.1,14.9,2.6,0.58,72.4,PM2.5
Canada,Toronto,North America,2024-08,30,Good,13.2,19.7,17.4,1.1,0.53,44.6,PM2.5
Canada,Toronto,North America,2024-09,41,Good,14.4,19.9,18.1,7.1,0.99,63.3,O3
Canada,Toronto,North America,2024-10,39,Good,16.4,23.8,4.2,7.8,0.66,13.4,PM2.5
Canada,Toronto,North America,2024-11,35,Good,13.8,21.1,5.8,3.6,0.37,13.7,NO2
Canada,Toronto,North America,2024-12,47,Good,18.4,31.5,24.3,3.1,0.8,43.1,NO2
Singapore,Singapore,Asia,2024-01,61,Moderate,25.1,36.3,7.6,10.3,1.16,32.1,PM10
Singapore,Singapore,Asia,2024-02,49,Good,19.1,31.6,7.8,11.0,0.42,35.7,PM2.5
Singapore,Singapore,Asia,2024-03,45,Good,17.0,29.2,2.6,4.7,0.44,11.4,PM2.5
Singapore,Singapore,Asia,2024-04,40,Good,15.7,24.3,10.9,5.6,0.63,10.7,PM2.5
Singapore,Singapore,Asia,2024-05,45,Good,18.8,27.4,21.4,8.9,0.63,78.3,PM2.5
Singapore,Singapore,Asia,2024-06,43,Good,15.1,25.4,21.2,1.9,0.35,11.2,PM2.5
Singapore,Singapore,Asia,2024-07,41,Good,15.8,23.5,2.1,3.6,0.69,78.2,NO2
Singapore,Singapore,Asia,2024-08,48,Good,16.9,29.6,23.1,9.5,0.6,37.9,PM2.5
Singapore,Singapore,Asia,2024-09,44,Good,18.7,28.7,3.6,10.6,1.04,65.0,O3
Singapore,Singapore,Asia,2024-10,36,Good,14.6,26.0,3.3,3.7,0.26,23.7,PM2.5
Singapore,Singapore,Asia,2024-11,52,Moderate,21.2,29.1,25.8,8.6,0.57,57.2,PM2.5
Singapore,Singapore,Asia,2024-12,60,Moderate,23.1,40.6,12.6,7.6,1.35,59.5,PM2.5
Australia,Sydney,Oceania,2024-01,24,Good,8.7,15.5,8.2,1.8,0.32,57.6,PM2.5
Australia,Sydney,Oceania,2024-02,34,Good,12.8,21.8,10.3,4.9,0.41,13.1,PM2.5
Australia,Sydney,Oceania,2024-03,25,Good,8.9,15.3,14.7,5.0,0.54,26.9,O3
Australia,Sydney,Oceania,2024-04,29,Good,10.7,19.0,17.3,5.3,0.71,49.9,PM2.5
Australia,Sydney,Oceania,2024-05,37,Good,13.2,21.3,21.8,2.3,0.75,73.6,O3
Australia,Sydney,Oceania,2024-06,30,Good,13.4,20.9,17.6,5.8,0.17,43.4,PM10
Australia,Sydney,Oceania,2024-07,39,Good,16.2,22.4,14.1,7.7,0.53,10.8,PM2.5
Australia,Sydney,Oceania,2024-08,30,Good,11.6,20.5,5.3,4.9,0.21,32.5,NO2
Australia,Sydney,Oceania,2024-09,28,Good,11.0,14.5,8.8,4.8,0.13,30.2,PM2.5
Australia,Sydney,Oceania,2024-10,31,Good,13.7,24.6,2.3,6.0,0.33,37.5,NO2
Australia,Sydney,Oceania,2024-11,23,Good,9.9,14.1,8.3,2.3,0.39,26.8,PM2.5
Australia,Sydney,Oceania,2024-12,30,Good,13.3,18.0,9.8,2.0,0.09,12.5,PM2.5
Iceland,Reykjavik,Europe,2024-01,14,Good,6.2,9.9,4.1,2.1,0.19,63.1,PM2.5
Iceland,Reykjavik,Europe,2024-02,16,Good,6.2,10.8,9.1,3.6,0.19,64.6,PM2.5
Iceland,Reykjavik,Europe,2024-03,10,Good,4.1,5.7,2.3,2.2,0.07,15.0,PM2.5
Iceland,Reykjavik,Europe,2024-04,12,Good,5.3,8.2,3.3,2.5,0.25,33.3,PM10
Iceland,Reykjavik,Europe,2024-05,13,Good,4.7,8.2,4.5,1.1,0.15,12.6,PM2.5
Iceland,Reykjavik,Europe,2024-06,12,Good,5.1,6.6,3.3,1.7,0.04,78.1,PM2.5
Iceland,Reykjavik,Europe,2024-07,9,Good,3.4,4.4,4.1,2.2,0.06,56.4,PM10
Iceland,Reykjavik,Europe,2024-08,9,Good,3.9,5.9,1.9,0.8,0.17,67.2,PM2.5
Iceland,Reykjavik,Europe,2024-09,13,Good,5.6,10.0,6.0,1.4,0.2,56.3,PM2.5
Iceland,Reykjavik,Europe,2024-10,12,Good,4.9,8.1,1.7,2.4,0.19,76.7,PM2.5
Iceland,Reykjavik,Europe,2024-11,13,Good,4.9,8.1,6.1,0.5,0.18,45.6,PM2.5
Iceland,Reykjavik,Europe,2024-12,12,Good,5.3,9.1,5.2,2.2,0.15,74.5,PM10
New Zealand,Wellington,Oceania,2024-01,17,Good,6.4,10.9,2.7,1.7,0.17,78.5,NO2
New Zealand,Wellington,Oceania,2024-02,17,Good,7.1,11.8,6.1,4.0,0.23,36.6,PM2.5
New Zealand,Wellington,Oceania,2024-03,20,Good,7.8,10.2,10.2,0.4,0.36,77.9,PM2.5
New Zealand,Wellington,Oceania,2024-04,20,Good,7.5,12.4,10.0,2.9,0.48,13.6,PM2.5
New Zealand,Wellington,Oceania,2024-05,20,Good,7.4,12.6,7.1,2.2,0.1,70.6,PM2.5
New Zealand,Wellington,Oceania,2024-06,23,Good,8.8,12.7,12.2,4.0,0.47,27.5,PM10
New Zealand,Wellington,Oceania,2024-07,25,Good,11.0,14.4,10.5,0.7,0.37,30.1,PM2.5
New Zealand,Wellington,Oceania,2024-08,22,Good,8.5,13.7,5.1,4.1,0.25,14.8,NO2
New Zealand,Wellington,Oceania,2024-09,17,Good,7.1,10.4,1.4,1.8,0.4,54.9,PM10
New Zealand,Wellington,Oceania,2024-10,14,Good,5.8,8.1,3.9,2.7,0.06,29.4,PM2.5
New Zealand,Wellington,Oceania,2024-11,19,Good,6.8,10.6,2.8,4.6,0.09,38.3,PM10
New Zealand,Wellington,Oceania,2024-12,16,Good,6.7,10.1,3.8,1.8,0.13,24.4,PM2.5
Sweden,Stockholm,Europe,2024-01,22,Good,9.1,16.2,8.4,0.8,0.08,76.6,PM2.5
Sweden,Stockholm,Europe,2024-02,22,Good,7.9,12.6,8.6,3.7,0.18,11.1,O3
Sweden,Stockholm,Europe,2024-03,22,Good,9.3,14.9,4.9,1.8,0.35,70.6,O3
Sweden,Stockholm,Europe,2024-04,17,Good,6.1,8.4,9.7,3.2,0.38,24.2,PM10
Sweden,Stockholm,Europe,2024-05,23,Good,9.0,11.8,8.5,1.7,0.28,77.0,PM2.5
Sweden,Stockholm,Europe,2024-06,21,Good,9.1,12.7,8.8,5.1,0.09,10.6,PM2.5
Sweden,Stockholm,Europe,2024-07,18,Good,7.9,12.0,3.5,2.1,0.34,10.6,PM10
Sweden,Stockholm,Europe,2024-08,17,Good,7.0,11.3,3.1,3.1,0.07,23.9,NO2
Sweden,Stockholm,Europe,2024-09,18,Good,6.8,9.7,1.5,2.2,0.34,52.5,PM10
Sweden,Stockholm,Europe,2024-10,18,Good,6.4,11.4,9.2,3.7,0.38,75.3,PM2.5
Sweden,Stockholm,Europe,2024-11,21,Good,8.9,14.9,7.1,0.7,0.22,74.5,PM10
Sweden,Stockholm,Europe,2024-12,21,Good,8.5,12.2,5.3,4.7,0.36,65.1,PM2.5
Switzerland,Zurich,Europe,2024-01,23,Good,9.7,14.7,6.7,3.9,0.54,14.5,NO2
Switzerland,Zurich,Europe,2024-02,30,Good,11.4,17.4,1.9,2.6,0.41,13.9,PM2.5
Switzerland,Zurich,Europe,2024-03,21,Good,8.7,12.4,2.9,1.1,0.08,23.0,PM10
Switzerland,Zurich,Europe,2024-04,26,Good,11.4,19.5,11.1,1.1,0.22,31.7,PM2.5
Switzerland,Zurich,Europe,2024-05,30,Good,11.6,17.1,15.2,6.0,0.27,74.0,O3
Switzerland,Zurich,Europe,2024-06,23,Good,8.8,13.0,7.5,5.4,0.51,17.2,PM2.5
Switzerland,Zurich,Europe,2024-07,20,Good,7.4,12.8,8.4,4.2,0.44,62.4,PM2.5
Switzerland,Zurich,Europe,2024-08,27,Good,11.1,15.3,11.4,1.6,0.48,26.1,PM2.5
Switzerland,Zurich,Europe,2024-09,25,Good,10.0,13.8,2.4,0.5,0.15,72.4,PM2.5
Switzerland,Zurich,Europe,2024-10,24,Good,9.3,12.6,4.1,3.3,0.38,27.2,PM2.5
Switzerland,Zurich,Europe,2024-11,18,Good,6.7,11.9,7.0,2.6,0.21,40.0,PM2.5
Switzerland,Zurich,Europe,2024-12,26,Good,10.9,18.0,3.8,3.5,0.3,70.9,PM10
Finland,Helsinki,Europe,2024-01,16,Good,6.6,9.0,3.8,0.8,0.29,24.4,PM2.5
Finland,Helsinki,Europe,2024-02,19,Good,8.4,11.8,6.3,2.2,0.05,65.5,PM2.5
Finland,Helsinki,Europe,2024-03,20,Good,8.3,13.6,3.8,0.4,0.37,47.5,NO2
Finland,Helsinki,Europe,2024-04,13,Good,5.6,9.6,4.1,1.2,0.26,41.6,PM2.5
Finland,Helsinki,Europe,2024-05,14,Good,5.4,9.2,7.6,0.9,0.05,71.4,PM2.5
Finland,Helsinki,Europe,2024-06,13,Good,5.3,9.5,1.1,2.2,0.05,36.3,NO2
Finland,Helsinki,Europe,2024-07,10,Good,3.7,5.5,2.5,0.3,0.11,42.5,PM10
Finland,Helsinki,Europe,2024-08,15,Good,6.2,10.3,0.8,1.0,0.26,43.9,PM2.5
Finland,Helsinki,Europe,2024-09,16,Good,6.5,8.7,7.5,2.4,0.32,62.6,NO2
Finland,Helsinki,Europe,2024-10,16,Good,6.4,8.8,6.7,2.6,0.31,21.9,PM2.5
Finland,Helsinki,Europe,2024-11,16,Good,7.1,11.9,6.1,2.7,0.36,50.5,PM10
Finland,Helsinki,Europe,2024-12,20,Good,7.3,11.2,8.9,1.6,0.13,32.0,PM2.5
Norway,Oslo,Europe,2024-01,21,Good,9.3,14.4,3.2,0.7,0.38,36.8,NO2
Norway,Oslo,Europe,2024-02,19,Good,7.9,13.4,3.8,3.4,0.15,75.7,PM10
Norway,Oslo,Europe,2024-03,15,Good,5.5,9.1,2.6,2.3,0.12,56.3,NO2
Norway,Oslo,Europe,2024-04,16,Good,6.8,11.4,2.5,0.6,0.29,35.8,PM2.5
Norway,Oslo,Europe,2024-05,19,Good,6.7,10.9,4.3,4.3,0.43,32.8,O3
Norway,Oslo,Europe,2024-06,13,Good,5.8,9.9,6.7,1.0,0.2,14.7,PM2.5
Norway,Oslo,Europe,2024-07,18,Good,7.8,14.0,3.3,0.5,0.21,19.1,PM2.5
Norway,Oslo,Europe,2024-08,17,Good,6.6,11.2,6.1,1.5,0.29,26.2,PM2.5
Norway,Oslo,Europe,2024-09,19,Good,8.1,10.7,9.7,3.1,0.28,53.7,NO2
Norway,Oslo,Europe,2024-10,21,Good,8.6,13.7,12.5,4.1,0.26,59.5,PM2.5
Norway,Oslo,Europe,2024-11,19,Good,8.4,14.8,4.5,2.7,0.13,79.7,O3
Norway,Oslo,Europe,2024-12,19,Good,7.9,13.4,8.4,2.9,0.06,41.8,PM10
Canada,Vancouver,North America,2024-01,31,Good,13.8,19.1,10.1,5.5,0.56,55.4,PM2.5
Canada,Vancouver,North America,2024-02,41,Good,15.0,24.3,15.6,2.4,0.75,41.9,PM10
Canada,Vancouver,North America,2024-03,27,Good,9.5,16.1,10.4,4.9,0.57,66.2,O3
Canada,Vancouver,North America,2024-04,29,Good,11.7,18.1,7.9,1.5,0.44,29.4,O3
Canada,Vancouver,North America,2024-05,34,Good,13.1,17.4,2.3,3.9,0.13,52.5,NO2
Canada,Vancouver,North America,2024-06,30,Good,13.1,21.3,5.0,6.5,0.67,23.8,PM10
Canada,Vancouver,North America,2024-07,28,Good,12.6,16.6,15.2,4.5,0.68,42.6,NO2
Canada,Vancouver,North America,2024-08,23,Good,8.2,12.0,2.0,5.6,0.48,69.7,O3
Canada,Vancouver,North America,2024-09,27,Good,9.6,13.5,4.8,3.4,0.22,17.1,PM2.5
Canada,Vancouver,North America,2024-10,25,Good,9.1,16.3,11.7,6.1,0.3,29.5,NO2
Canada,Vancouver,North America,2024-11,24,Good,9.0,12.3,4.6,2.4,0.42,14.4,PM2.5
Canada,Vancouver,North America,2024-12,31,Good,13.4,18.4,7.4,6.8,0.17,15.8,PM2.5
Kenya,Nairobi,Africa,2024-01,100,Moderate,43.0,58.8,36.9,13.5,0.53,53.7,PM2.5
Kenya,Nairobi,Africa,2024-02,74,Moderate,29.5,39.6,22.4,6.5,1.55,14.0,PM2.5
Kenya,Nairobi,Africa,2024-03,91,Moderate,37.1,60.6,43.4,19.8,0.84,47.7,NO2
Kenya,Nairobi,Africa,2024-04,72,Moderate,32.3,56.4,18.3,4.5,0.95,61.9,PM2.5
Kenya,Nairobi,Africa,2024-05,86,Moderate,33.2,57.4,23.5,8.0,1.07,63.4,PM2.5
Kenya,Nairobi,Africa,2024-06,67,Moderate,24.8,44.0,9.8,10.0,1.03,44.3,PM10
Kenya,Nairobi,Africa,2024-07,70,Moderate,27.1,44.2,8.9,10.5,0.44,29.5,PM2.5
Kenya,Nairobi,Africa,2024-08,55,Moderate,20.3,34.8,11.4,12.8,1.34,50.0,PM2.5
Kenya,Nairobi,Africa,2024-09,86,Moderate,33.3,44.7,30.6,18.4,1.75,22.3,PM10
Kenya,Nairobi,Africa,2024-10,70,Moderate,26.0,36.6,37.2,5.2,0.56,10.0,NO2
Kenya,Nairobi,Africa,2024-11,80,Moderate,34.0,46.8,24.2,7.9,0.33,44.0,O3
Kenya,Nairobi,Africa,2024-12,108,Unhealthy for Sensitive Groups,38.2,55.2,17.7,7.8,2.47,42.8,PM2.5
Argentina,Buenos Aires,South America,2024-01,58,Moderate,23.1,35.0,21.9,14.5,1.14,37.9,NO2
Argentina,Buenos Aires,South America,2024-02,66,Moderate,24.2,31.8,10.7,6.3,0.91,53.1,O3
Argentina,Buenos Aires,South America,2024-03,53,Moderate,18.8,24.8,18.7,6.3,1.13,21.2,PM2.5
Argentina,Buenos Aires,South America,2024-04,74,Moderate,29.2,41.4,5.7,13.7,0.34,52.6,PM2.5
Argentina,Buenos Aires,South America,2024-05,48,Good,20.6,30.8,22.2,2.2,0.95,26.6,PM10
Argentina,Buenos Aires,South America,2024-06,39,Good,15.9,28.1,10.3,1.3,0.1,67.9,PM2.5
Argentina,Buenos Aires,South America,2024-07,41,Good,15.8,20.8,23.7,7.1,0.96,28.6,PM10
Argentina,Buenos Aires,South America,2024-08,49,Good,20.5,29.9,25.3,11.6,1.1,61.7,PM2.5
Argentina,Buenos Aires,South America,2024-09,55,Moderate,24.7,36.0,13.0,1.9,0.67,28.3,PM2.5
Argentina,Buenos Aires,South America,2024-10,59,Moderate,25.6,45.3,9.0,6.1,1.38,14.3,PM2.5
Argentina,Buenos Aires,South America,2024-11,52,Moderate,19.0,33.9,15.4,7.0,0.4,43.0,PM10
Argentina,Buenos Aires,South America,2024-12,54,Moderate,23.0,38.6,19.9,12.3,1.12,63.0,PM2.5
Nepal,Kathmandu,Asia,2024-01,172,Unhealthy,67.1,116.9,93.3,39.4,1.59,58.4,PM2.5
Nepal,Kathmandu,Asia,2024-02,234,Very Unhealthy,86.4,120.3,55.7,27.4,4.94,18.4,PM10
Nepal,Kathmandu,Asia,2024-03,121,Unhealthy for Sensitive Groups,48.3,70.0,45.7,14.3,0.7,18.2,PM2.5
Nepal,Kathmandu,Asia,2024-04,160,Unhealthy,70.4,103.6,72.5,27.3,3.75,67.5,PM10
Nepal,Kathmandu,Asia,2024-05,169,Unhealthy,65.9,96.4,9.5,35.4,3.45,17.3,PM10
Nepal,Kathmandu,Asia,2024-06,144,Unhealthy for Sensitive Groups,57.1,77.6,84.9,9.6,0.51,51.6,PM10
Nepal,Kathmandu,Asia,2024-07,141,Unhealthy for Sensitive Groups,56.9,76.9,20.4,21.0,1.24,75.7,NO2
Nepal,Kathmandu,Asia,2024-08,136,Unhealthy for Sensitive Groups,61.0,87.2,79.3,16.0,1.36,13.5,PM2.5
Nepal,Kathmandu,Asia,2024-09,147,Unhealthy for Sensitive Groups,54.8,88.1,27.8,22.3,1.51,67.6,NO2
Nepal,Kathmandu,Asia,2024-10,190,Unhealthy,75.6,111.5,47.4,38.9,1.81,24.6,PM2.5
Nepal,Kathmandu,Asia,2024-11,127,Unhealthy for Sensitive Groups,55.1,77.7,33.0,26.1,2.66,36.9,PM2.5
Nepal,Kathmandu,Asia,2024-12,128,Unhealthy for Sensitive Groups,48.7,86.0,14.8,30.0,2.27,47.2,PM2.5
Vietnam,Hanoi,Asia,2024-01,114,Unhealthy for Sensitive Groups,41.7,67.9,66.6,16.9,2.1,14.8,PM2.5
Vietnam,Hanoi,Asia,2024-02,150,Unhealthy for Sensitive Groups,54.2,87.1,84.9,25.7,0.56,34.8,PM10
Vietnam,Hanoi,Asia,2024-03,148,Unhealthy for Sensitive Groups,63.9,102.6,37.8,11.3,0.66,34.8,PM2.5
Vietnam,Hanoi,Asia,2024-04,125,Unhealthy for Sensitive Groups,52.2,85.0,11.1,13.6,0.77,21.0,NO2
Vietnam,Hanoi,Asia,2024-05,129,Unhealthy for Sensitive Groups,47.3,82.3,46.0,9.1,1.75,61.2,O3
Vietnam,Hanoi,Asia,2024-06,110,Unhealthy for Sensitive Groups,40.9,71.3,62.0,25.4,1.83,54.1,PM2.5
Vietnam,Hanoi,Asia,2024-07,120,Unhealthy for Sensitive Groups,50.1,75.9,54.3,25.1,0.64,68.3,PM2.5
Vietnam,Hanoi,Asia,2024-08,140,Unhealthy for Sensitive Groups,60.8,92.2,36.2,32.2,1.09,69.1,PM2.5
Vietnam,Hanoi,Asia,2024-09,100,Moderate,40.7,59.5,7.2,8.0,0.21,78.5,O3
Vietnam,Hanoi,Asia,2024-10,132,Unhealthy for Sensitive Groups,51.4,85.5,31.7,22.9,2.71,76.3,PM2.5
Vietnam,Hanoi,Asia,2024-11,119,Unhealthy for Sensitive Groups,53.4,70.1,45.5,20.3,2.12,18.4,O3
Vietnam,Hanoi,Asia,2024-12,179,Unhealthy,65.9,106.2,30.9,15.8,2.61,39.2,PM2.5
